sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
BSD,bitsend,182,0.321158,1.32E-4,0.08,-6.38,59219.8,1497518952
XMY,myriad,183,0.00330941,1.36E-6,-1.5,-11.46,183003.0,1497518948
JNS,janus,184,0.231461,9.514E-5,4.8,-25.49,1471.58,1497518984
MNE,minereum,185,9.73581,0.00400163,0.01,-5.01,91622.0,1497518992
SEQ,sequence,186,0.102184,4.2E-5,5.27,-11.45,68082.1,1497518978
ZET,zetacoin,187,0.0274417,1.128E-5,-3.64,-5.42,1329610.0,1497518947
APX,apx,188,5.73553,0.00235743,-0.2,-14.06,57891.1,1497518993
FAIR,faircoin,189,0.0839128,3.449E-5,0.12,-14.85,10480.7,1497518949
DBIX,dubaicoin-dbix,190,5.05693,0.00207851,0.07,-4.96,56268.6,1497518989
NAUT,nautiluscoin,191,0.274652,1.1289E-4,0.37,-13.72,194178.0,1497518951
BTM,bitmark,192,1.1223,4.6129E-4,0.57,-13.68,112031.0,1497518955
BITUSD,bitusd,193,0.994878,4.0892E-4,0.05,1.12,920226.0,1497518956
ZCL,zclassic,194,2.7496,0.00113015,-3.58,-13.03,84473.5,1497518981
PANGEA,pangea-poker,195,4.15855,0.00170925,5.62,58.43,9632.27,1497518958
MEC,megacoin,196,0.125073,5.141E-5,-0.14,3.07,1286820.0,1497518941
XST,stealthcoin,197,0.155709,6.4E-5,61.37,113.4,189428.0,1497518953
COVAL,circuits-of-value,198,0.0102184,4.2E-6,0.59,-23.04,126343.0,1497518959
DMD,diamond,199,1.88554,7.75E-4,0.12,-12.83,13071.5,1497518944
SPR,spreadcoin,200,0.487148,2.0023E-4,-1.96,-17.99,8587.21,1497518958
ZCC,zccoin,201,0.0644854,2.65E-5,-1.37,-12.87,2460260.0,1497518954
HTML5,htmlcoin,202,9.73994E-5,4.0E-8,0.51,-17.84,16873.3,1497518956
EMV,ethereum-movie-venture,203,0.581259,2.3891E-4,-4.41,61.81,5841.82,1497518989
XSPEC,spectrecoin,204,0.186961,7.684E-5,-1.44,-11.73,146783.0,1497518984
GRS,groestlcoin,205,0.0553562,2.275E-5,-1.34,-22.51,16145.8,1497518949
HUC,huntercoin,206,0.189771,7.8E-5,0.73,-15.64,141950.0,1497518946
ATMS,atmos,207,0.0336844,1.385E-5,2.26,-8.16,178644.0,1497518989
XRB,raiblocks,208,0.0417695,1.717E-5,-0.91,15.21,250092.0,1497518987
CURE,curecoin,209,0.137754,5.662E-5,0.57,-13.55,26713.1,1497518951
ZENI,zennies,210,0.00326279,1.34E-6,-0.61,-15.58,9111.57,1497518990
SWIFT,bitswift,211,0.779545,3.2041E-4,-3.27,-22.69,519421.0,1497518957
XWC,whitecoin,212,0.0127238,5.23E-6,-4.57,-10.52,122166.0,1497518949
BTA,bata,213,0.628732,2.5842E-4,4.09,-13.15,19256.5,1497518962
SPHR,sphere,214,0.98007,4.0283E-4,0.25,-15.23,13154.7,1497518962
PUT,putincoin,215,0.0150205,6.17E-6,-6.18,26.17,39862.2,1497518974
GLD,goldcoin,216,0.0736064,3.025E-5,-7.22,-6.28,8905.38,1497518965
1337,1337,217,1.25506E-4,5.0E-8,0.43,-17.3,36396.1,1497518966
SBD,steem-dollars,218,1.52059,6.2499E-4,-2.57,-15.3,231842.0,1497518975
ETB,ethbits,219,2.43274,9.9991E-4,-1.65,-16.09,7070.25,1497518994
TIX,tickets,220,4.07593E-5,2.0E-8,0.29,-4.8,156443.0,1497518943
XBB,boolberry,221,0.282899,1.1628E-4,-0.12,3.96,13717.2,1497518953
BRX,breakout-stake,222,0.426279,1.7521E-4,0.07,-18.68,4466.61,1497518974
VISIO,visio,223,0.0527626,2.169E-5,1.12,-8.79,12449.6,1497518986
